Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
08/03/2021,31,ID,6,1380947,1332,4,737440,977,Admin,6,1333,2,667902,465
08/03/2021,31,ME,9120,1676069,2468,2898,917733,1175,Report,9120,2468,6255,860273,1375
08/03/2021,31,MI,14449,9828892,10741,9306,5202784,6549,Report,14449,10741,5430,4890859,4600
08/03/2021,31,MA,6197,9168894,10536,3900,5020244,5925,Report,6197,10536,2619,4417348,4446
08/03/2021,31,SD,1,855676,937,0,468315,681,Admin,1,937,1,414730,314
08/03/2021,31,GA,2,8942802,1848,2,4905156,1308,Admin,2,1849,2,4095570,606
08/03/2021,31,US,452804,347377149,681373,301991,192120576,446300,Report,452804,681373,161750,165081416,252706
08/03/2021,31,VT,0,875208,282,0,483807,195,Admin,0,282,0,430469,121
08/03/2021,31,CA,27,45467015,56073,15,25812930,36327,Admin,27,56074,13,21009367,21602
08/03/2021,31,IL,13802,13717452,28033,8812,7874708,17137,Report,13802,28033,5542,6176354,9818
08/03/2021,31,KS,3078,2718396,5579,2157,1515807,4038,Report,3078,5579,954,1322173,1783
08/03/2021,31,NH,121,1599189,1316,78,867604,924,Admin,121,1316,43,779567,515
08/03/2021,31,TN,0,5805067,9079,0,3159076,6697,Admin,0,9079,0,2734894,2638
08/03/2021,31,NV,5402,2987621,7417,3682,1687889,5013,Report,5402,7417,1914,1375778,2723
08/03/2021,31,NM,586,2498268,4641,381,1364175,2751,Report,586,4641,291,1203488,1970
08/03/2021,31,MP,234,62095,185,121,32815,98,Admin,234,185,122,29816,92
08/03/2021,31,DE,0,1096340,1166,0,608615,760,Admin,0,1166,0,527620,451
08/03/2021,31,DC,0,907346,684,0,501576,421,Admin,0,685,0,424622,267
08/03/2021,31,LA,22,3676875,13900,9,2040863,11484,Report,22,13900,49,1722557,2777
08/03/2021,31,MD,10110,7237660,11321,6321,3906411,6563,Report,10110,11321,3637,3568868,4827
08/03/2021,31,WA,0,9048440,8445,0,4900479,5348,Admin,0,8445,0,4412060,3533
08/03/2021,31,OH,8944,11125543,15775,5770,5922665,8939,Report,8944,15775,3302,5452959,6856
08/03/2021,31,WY,0,447749,222,0,247206,166,Admin,0,223,0,215657,85
08/03/2021,31,AR,3636,2466403,9372,2670,1429626,7260,Report,3636,9372,963,1104020,2390
08/03/2021,31,MA,0,9177481,6744,0,5025885,4295,Admin,0,6744,0,4421881,2780
08/03/2021,31,OR,5,4762995,3890,4,2561764,2571,Admin,5,3891,2,2359828,1603
08/03/2021,31,WA,7005,9036298,12640,4143,4893712,7530,Report,7005,12640,3120,4403203,5730
08/03/2021,31,NC,1399,9794429,14884,975,5478838,10865,Admin,1399,14884,423,4657868,4433
08/03/2021,31,AR,4,2497552,6514,4,1447390,4942,Admin,4,6515,0,1115038,1730
08/03/2021,31,MD,4704,7254979,8520,2896,3916627,5426,Admin,4704,8520,2034,3562232,3343
08/03/2021,31,OR,2865,4757884,5573,1896,2558510,3621,Report,2865,5573,1114,2366875,2288
08/03/2021,31,MS,118,2150390,6094,117,1182351,4799,Report,118,6094,45,1027135,1411
08/03/2021,31,WI,3511,6182459,7470,2347,3276138,4939,Report,3511,7470,1294,3022244,2883
08/03/2021,31,MO,7420,5503756,14559,4541,3059890,9747,Report,7420,14559,3022,2549091,5241
08/03/2021,31,RI,0,1335521,1173,0,721171,746,Admin,0,1174,0,658622,456
08/03/2021,31,OH,1,11140551,9607,1,5933100,6572,Admin,1,9608,1,5525807,3632
08/03/2021,31,AL,5801,3646234,10942,4759,2104017,8970,Admin,5801,10943,1391,1651691,2277
08/03/2021,31,FM,79,56435,109,60,33771,85,Admin,79,109,42,29408,44
08/03/2021,31,NY,26139,23049690,39106,16633,12363635,23637,Report,26139,39106,10059,11150603,16683
08/03/2021,31,NC,10707,9776317,19358,7950,5465712,13688,Report,10707,19358,2811,4606310,6151
08/03/2021,31,VA,0,9738560,10254,0,5292601,6662,Admin,0,10254,0,4672476,4007
08/03/2021,31,VI,504,85376,331,388,47765,243,Report,504,331,113,37739,94
08/03/2021,31,SC,7911,4439085,9464,5766,2444296,6746,Report,7911,9464,2366,2100297,3071
08/03/2021,31,SC,0,4446983,6989,0,2450069,5033,Admin,0,6989,0,2110043,2234
08/03/2021,31,MT,0,977293,831,0,532808,624,Admin,0,831,0,475100,274
08/03/2021,31,VI,329,85839,263,243,48099,188,Admin,329,263,86,38683,74
08/03/2021,31,CO,3482,6509188,7530,2297,3507970,4715,Admin,3482,7530,1286,3160219,3121
08/03/2021,31,NM,32,2502898,2497,15,1367403,1712,Admin,32,2498,17,1196930,902
08/03/2021,31,AS,0,52214,138,0,28849,73,Report,0,138,0,23859,64
08/03/2021,31,IA,12372,3153696,4062,8311,1691858,2793,Report,12372,4062,4585,1570598,1530
08/03/2021,31,KS,0,2724194,3953,0,1519794,2870,Admin,0,3953,0,1275858,1267
08/03/2021,31,MN,2739,6102310,8096,1878,3317991,5244,Report,2739,8096,971,3040861,3138
08/03/2021,31,AK,1996,699605,850,1437,382943,596,Report,1996,850,704,333879,330
08/03/2021,31,NJ,13600,10421599,20204,8891,5712244,10911,Report,13600,20204,5313,5204274,10088
08/03/2021,31,KY,5099,4222406,9041,3637,2328645,6051,Report,5099,9041,1508,2046273,3356
08/03/2021,31,UT,0,3029907,2470,0,1701306,1602,Admin,0,2470,0,1453458,967
08/02/2021,31,NM,2701,2497682,4712,1830,1363794,2797,Report,2701,4712,950,1203197,1987
08/02/2021,31,MH,1,36161,45,0,19957,23,Report,1,45,1,17307,25
